Choice ID,Scene,Variable Delta,Scope,Expiry,Gate(s) that read it,Outcome tags,Notes
A1.S02.SayItAnyway,A1_S02_BEDR,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S02.StaySilent,A1_S02_BEDR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S02.BuryIt,A1_S02B_SECT,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S02.LetItStay,A1_S02B_SECT,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S03.LetYourselfRemember,A1_S03_MORN,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S03.BuryIt,A1_S03_MORN,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S04.CoverIt,A1_S04_HALL,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S04.LetItShow,A1_S04_HALL,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.RespondWithCold,A1_S05_GALA,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.AcknowledgeTheAwkwardness,A1_S05_GALA,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.AcknowledgeHer,A1_S05_GALA,Lyra.affection +1,Lyra,Act 1,,,
A1.S05.LookAway,A1_S05_GALA,,,,,,
A1.S05.CrossTheFloor,A1_S05_GALA,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S05.KeepYourDistance,A1_S05_GALA,,,,,,
A1.S06.LeanInAnd,A1_S06_BALC,,,,,,
A1.S06.OfferTheLighter,A1_S06_BALC,,,,,,
A1.S06.HoldHerGaze,A1_S06_BALC,,,,,,
A1.S06.LookPastHer,A1_S06_BALC,,,,,,
A1.S06.FlickAshOver,A1_S06_BALC,,,,,,
A1.S06.TapAshInto,A1_S06_BALC,,,,,,
A1.S06.PressHerAbout,A1_S06_BALC,,,,,,
A1.S06.LetTheMoment,A1_S06_BALC,,,,,,
A1.S07.BreakItImmediately,A1_S07_BEDR,,,,,,
A1.S07.HesitateForA,A1_S07_BEDR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.SendASingle,A1_S07_BEDR,,,,,,
A1.S07.SayNothing,A1_S07_BEDR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.MercyReducesUnnecessary,A1_S07A_INSP,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.MercyIsDiscretionary,A1_S07A_INSP,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.MercyIsA,A1_S07A_INSP,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.OccasionalSleepDisruption,A1_S07A_INSP,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.NoResidueMetrics,A1_S07A_INSP,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.NoReport,A1_S07A_INSP,empathy_score -1; empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.NeutralizeTargetImmediately,A1_S07A_INSP,empathy_score -2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.CreateSeparationFirst,A1_S07A_INSP,empathy_score +2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.RefusePremiseDemand,A1_S07A_INSP,empathy_score +2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.Yes,A1_S07A_INSP,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.ILlAct,A1_S07A_INSP,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.QuietlyRestoreThe,A1_S07B_BARR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.IgnoreItAnd,A1_S07B_BARR,,,,,,
A1.S07.TellTheGuard,A1_S07B_BARR,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.TeachHimA,A1_S07B_BARR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.TeachHimThe,A1_S07B_BARR,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S07.TellHimTo,A1_S07B_BARR,,,,,,
A1.S09.TakeTheClean,A1_S09B_DEMO,empathy_score -2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S09.DisruptTheLight,A1_S09B_DEMO,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S09.RequestIdVerification,A1_S09B_DEMO,empathy_score +2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.AskAPointed,A1_S10B_ARCH,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.ComplimentTheEfficiency,A1_S10B_ARCH,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.SayNothingAnd,A1_S10B_ARCH,,,,,,
A1.S10.AddAQuiet,A1_S10B_ARCH,empathy_score +1; Lyra.affection +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.RepeatTheMaxims,A1_S10B_ARCH,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.DeflectWithA,A1_S10B_ARCH,,,,,,
A1.S10.RecommendEvacCorridors,A1_S10C_DEBR,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.PubliclyAffirmCollateral,A1_S10C_DEBR,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S10.StaySilentMeet,A1_S10C_DEBR,Lyra.affection +1,Lyra,Act 1,,,
A1.S11.StepForward,A1_S11_BREA,,,,,,
A1.S11.StepBack,A1_S11_BREA,,,,,,
A1.S12.TellHerTo,A1_S12_LYRA,,,,,,
A1.S12.LetLyraStay,A1_S12_LYRA,Lyra.affection +1,Lyra,Act 1,,,
A1.S13.OpenTheMessage,A1_S13_THE_,,,,,,
A1.S13.Hesitate,A1_S13_THE_,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S13.OpenTheUnmarked,A1_S13_THE_,,,,,,
A1.S13.IgnoreItAnd,A1_S13_THE_,,,,,,
A1.S13.GoToThe,A1_S13_THE_,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S13.WaitAndThink,A1_S13_THE_,,,,,,
A1.S14.BuyACup,A1_S14_LOWE,,,,,,
A1.S14.WalkPastWithout,A1_S14_LOWE,,,,,,
A1.S14.TryToReassure,A1_S14_LOWE,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S14.SayNothingAnd,A1_S14_LOWE,,,,,,
A1.S14.NodInAcknowledgment,A1_S14_LOWE,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S14.StepBackInto,A1_S14_LOWE,,,,,,
A1.S15.StopHer,A1_S15_ZIRA,,,,,,
A1.S15.LetHerGo,A1_S15_ZIRA,,,,,,
A1.S16.EnterImmediately,A1_S16_RETU,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S16.PauseAtThe,A1_S16_RETU,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S16.PickUpThe,A1_S16_RETU,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S16.LeaveItWhere,A1_S16_RETU,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S16.PrepareThoroughlyPerfect,A1_S16_RETU,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S16.MinimalPreparationEnough,A1_S16_RETU,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.TakeTheDirect,A1_S17_THE_,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.DetourThroughMarket,A1_S17_THE_,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.BreachAndClear,A1_S17_THE_,empathy_score -2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.MarkAsClear,A1_S17_THE_,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.EliminateTheTarget,A1_S17_THE_,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.OrderHimTo,A1_S17_THE_,empathy_score +1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.BreachAndClear2,A1_S17_THE_,empathy_score -2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S17.CompromiseWarnThem,A1_S17_THE_,empathy_score +2,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S18.CallHerBack,A1_S18B_MORN,Lyra.affection +1; empathy_score +1,Lyra,Act 1,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S18.LetHerGo,A1_S18B_MORN,empathy_score -1,Global,Until A2 Split,Gate: empathy_score >= 3; Gate: empathy_score >= 1; Gate: empathy_score >= 2,,
A1.S20.InvestigateFurtherCheck,A1_S20_INVE,,,,,,
A1.S20.DismissItToo,A1_S20_INVE,,,,,,
A1.S20.KeepDiggingTry,A1_S20_INVE,,,,,,
A1.S20.StopInvestigatingToo,A1_S20_INVE,,,,,,
